aa_id,consent_id,timestamp,phone_number,fiu_id,fip_id,purpose_code,purpose,data_range_from,data_range_to,validity,filetype,signature
AA1,ee545ec2-8b98-4222-8bcf-59679618889f,2025-04-10T00:07:18,7417846780,FIU047,FIP006,104,Account Query and Monitoring,2025-02-13,2025-04-12,2025-04-12,DEPOSIT,e9795b5f1be22e2084513c099974f5497faffd0359bc5c771b7038856550113e
AA1,51a65280-2b23-411a-9570-d24b64289733,2025-03-12T04:01:51,8097660930,FIU032,FIP050,101,Personal Finance,2025-01-15,2025-06-03,2025-06-03,CREDIT_CARD,dfca625aa3e331422e213da1921003f8fa7d9d1ef6908d5be4c65d8ba9bce514
AA1,095a84b8-f94a-414d-902f-d332011cfc8f,2025-04-20T10:52:48,7263729931,FIU039,FIP023,104,Account Query and Monitoring,2025-03-29,2025-08-03,2025-08-03,CREDIT_CARD,11864f79a2b2b20f60563a79e6a4812b714d3d3d7fb676d55878ec512ba43e24
AA1,900e1d70-0b03-4c7f-867b-cfc2dcd60142,2025-03-19T18:41:13,9197610270,FIU044,FIP026,103,Credit Underwriting,2025-03-05,2025-08-11,2025-08-11,CREDIT_CARD,ce551ae3b4558a0cdd24b10a2327107c9d21f4c04447a58c4989de1eceded55f
AA1,4451e64d-72c6-46ac-a2c7-3507b510aa70,2025-02-21T10:01:09,8747390746,FIU021,FIP002,103,Credit Underwriting,2025-03-06,2025-06-01,2025-06-01,CREDIT_CARD,b29c03a297bb6a9ddf60c864227b37d6364da20c5b2f1270fa57ca468fffdffc
AA1,4523727f-8200-4eba-8079-fde69501c468,2025-05-02T14:18:57,9298233213,FIU008,FIP030,103,Credit Underwriting,2025-04-05,2025-06-26,2025-06-26,CREDIT_CARD,17f618222109f46b44577f4a9fced87d25c568e3fd66bd817a9631d83fbfde82
AA1,1a9a6502-4c4d-4d2d-8b11-d2ebbeeea385,2025-04-29T13:56:37,8652692177,FIU045,FIP011,102,Financial Reporting,2025-04-14,2025-09-14,2025-09-14,INSURANCE,2da6701852299f0085461bc7a31e3e68d29ac6b0257170fcd5abeefef18572ba
AA1,34ba0a49-6e03-4fd9-b62d-be20c9fce21b,2025-06-02T11:03:51,7019137050,FIU038,FIP035,101,Personal Finance,2025-01-05,2025-06-07,2025-06-07,INSURANCE,df1dc1b1c687df92c9afc3ed673422b7704d75f332fb00271ad5036c6ed1a51b
AA1,d0ad100e-5a07-47ed-b58b-cb73270813bc,2025-01-05T15:47:50,9336900143,FIU042,FIP004,101,Personal Finance,2025-05-05,2025-09-20,2025-09-20,INSURANCE,a6f4720d69c4cf618e4edd0cb9601e9cbe24e093e1848edcb8a87d3be083c8fc
AA1,d69ef150-46b5-4bf2-8471-2b9279acf3d4,2025-03-27T20:26:59,9482024172,FIU013,FIP023,101,Personal Finance,2025-05-29,2025-07-19,2025-07-19,DEPOSIT,8d22ee5dd568c1e969be8d60ee34c330502bed512d6c0c4778362262a47fd3ff
AA1,b251356b-0396-4506-ad0f-0f5cd33b1b3b,2025-03-13T04:14:50,8928936350,FIU043,FIP028,103,Credit Underwriting,2025-02-27,2025-07-29,2025-07-29,DEPOSIT,79baab3d0e021542ea539cac4b8ef785bf8b66ebff3f11f00914bbafd2823829
AA1,37aa45f5-f4fd-41b1-8668-d3460abc5693,2025-01-17T01:42:43,8256050620,FIU033,FIP003,101,Personal Finance,2025-05-01,2025-08-23,2025-08-23,MUTUAL_FUNDS,384be8ef7923a0db9b08531b006bcd138c4da3cd366c3b0a704222ff5586385c
AA1,115b8382-86f3-4b0a-825d-e91ec0f37bd8,2025-05-01T08:37:49,8205535494,FIU047,FIP016,104,Account Query and Monitoring,2025-04-27,2025-07-28,2025-07-28,DEPOSIT,a38ef2ae5d003862b554099c18e545487e7d096d4ec6cae1f32c5b7b96d436bd
AA1,5043b60f-0e06-44b7-8408-87f19f059005,2025-04-12T09:45:04,8120652677,FIU041,FIP046,103,Credit Underwriting,2025-04-10,2025-08-10,2025-08-10,CREDIT_CARD,54135221790b32b98b3d4358095446cc5db517d76be4495ee8d71695eaadbb4b
AA1,5ae933d4-9edd-40bc-a4fc-79af82a38281,2025-02-28T20:29:14,7838838829,FIU028,FIP036,104,Account Query and Monitoring,2025-04-28,2025-09-01,2025-09-01,CREDIT_CARD,f6483cf5a0a35e7a6e84e4bae969e6f0d2687131625473461aef5b44c3a6ddda
AA1,eefb1134-7cc6-4e8a-b629-dc80a3be594f,2025-06-18T00:30:38,9352246834,FIU038,FIP050,102,Financial Reporting,2025-03-20,2025-06-11,2025-06-11,CREDIT_CARD,dc331914d8b78e42ecd26bda10b7747d565c9b276457afb25923dd337975efc3
AA1,c1263e83-ae21-46a4-952e-97487dead358,2025-06-23T21:38:17,9771095250,FIU026,FIP025,103,Credit Underwriting,2025-01-13,2025-02-26,2025-02-26,INSURANCE,bf34804dc2c1d62f10cf0479200d02bc89081158177703b655bf8ba600d046a0
AA1,3dafef8c-3237-4cfb-9c9e-672116671603,2025-06-09T13:52:38,8908425289,FIU038,FIP043,104,Account Query and Monitoring,2025-01-09,2025-06-05,2025-06-05,DEPOSIT,65f2a46b1fbe7866593b468cd4600664cafc214f0624e6b7b8d68fb57415e6d6
